date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,name
2020-08-07T00:00:00,4640,0,0,4680,4600,4620,-20,28421200,1.31391E+11,8496,22.2,4630,759100,4620,597300,18462169893,18462169893,18462169893,9868900,11005500,,78,360360,1,BNI
2020-08-10T00:00:00,4620,0,0,4640,4610,4620,0,14825600,68529121000,4311,22.2,4630,555700,4620,572000,18462169893,18462169893,18462169893,2643000,3717000,,52455,242080650,2,BNI
2020-08-11T00:00:00,4620,0,0,4820,4630,4780,160,96456100,4.6049E+11,17485,23,4790,495700,4780,1928600,18462169893,18462169893,18462169893,5275500,21302400,,865833,4000139550,2,BNI
2020-08-12T00:00:00,4780,0,0,5200,4760,5125,345,181198500,9.09663E+11,33708,24.6,5150,3294500,5125,5409200,18462169893,18462169893,18462169893,14933200,35741200,,3353020,16869300306,7,BNI
2020-08-13T00:00:00,5125,0,0,5350,5025,5075,-50,87602500,4.49172E+11,20298,24.4,5075,6320700,5050,2943900,18462169893,18462169893,18462169893,7978500,14469300,,867860,4421689800,3,BNI
2020-08-14T00:00:00,5075,0,0,5100,5000,5000,-75,57145100,2.87586E+11,13255,24,5025,679900,5000,346400,18462169893,18462169893,18462169893,22952300,9292100,,9967168,50145721000,30,BNI
2020-08-18T00:00:00,5000,0,0,5225,5025,5050,50,101770600,5.21843E+11,20671,24.3,5075,232900,5050,121300,18462169893,18462169893,18462169893,38070100,22165400,,9789720,50026655100,8,BNI
2020-08-19T00:00:00,5050,0,0,5200,5000,5050,0,79545900,4.03807E+11,16725,24.3,5075,217300,5050,9284700,18462169893,18462169893,18462169893,41847800,8746200,,564685,2857138750,11,BNI
2020-08-24T00:00:00,5050,0,0,5150,5050,5100,50,52733400,2.68662E+11,10124,24.5,5125,1784700,5100,2050200,18462169893,18462169893,18462169893,34408900,7610000,,300,1504550,6,BNI
2020-08-25T00:00:00,5100,0,0,5350,5150,5275,175,92771400,4.87372E+11,16834,25.4,5300,3979500,5275,1022600,18462169893,18462169893,18462169893,35730800,14893600,,1454634,7639507350,3,BNI
2020-08-26T00:00:00,5275,0,0,5350,5200,5325,50,72829900,3.84168E+11,14180,25.6,5325,8594900,5300,1128000,18462169893,18462169893,18462169893,30370100,3704500,,3989400,21043805000,4,BNI
2020-08-27T00:00:00,5325,0,0,5425,5250,5300,-25,56667800,3.02413E+11,13881,25.5,5300,65300,5275,1575100,18462169893,18462169893,18462169893,17676300,7735700,,148,789650,2,BNI
2020-08-28T00:00:00,5300,0,0,5350,5225,5250,-50,41897900,2.20474E+11,9760,25.3,5250,2710100,5225,7778300,18462169893,18462169893,18462169893,27139100,3625700,,2884467,14986652100,13,BNI
2020-08-31T00:00:00,5250,0,0,5325,5000,5100,-150,125960000,6.47256E+11,24489,24.5,5100,2004900,5075,556000,18462169893,18462169893,18462169893,66744900,9915500,,6121915,31770904450,9,BNI
2020-09-01T00:00:00,5100,0,0,5175,5025,5175,75,54441900,2.79084E+11,11075,24.9,5175,421200,5150,1009100,18462169893,18462169893,18462169893,20486400,8940300,,859673,4433698912,7,BNI
2020-09-02T00:00:00,5175,0,0,5275,5125,5225,50,46207400,2.40595E+11,8672,25.1,5250,1998600,5225,1720400,18462169893,18462169893,18462169893,19402200,4262900,,1912400,9978778400,3,BNI
2020-09-03T00:00:00,5225,0,0,5375,5250,5350,125,133938600,7.12172E+11,17316,25.7,5375,3910200,5350,2182200,18462169893,18462169893,18462169893,36925500,20963700,,2673124,13944232175,7,BNI
2020-09-04T00:00:00,5350,0,0,5250,5125,5225,-125,94096000,4.88284E+11,18120,25.1,5250,798800,5225,3491900,18462169893,18462169893,18462169893,43963700,5716500,,600268,3106401017,6,BNI
2020-09-07T00:00:00,5225,5225,5250,5275,5125,5250,25,40928200,2.12893E+11,8415,25.3,5275,842900,5250,225700,18462169893,18462169893,18462169893,12264600,468700,,2108032,11060456588,6,BNI
2020-09-08T00:00:00,5250,5300,5300,5300,5225,5250,0,22596800,1.18725E+11,5217,25.3,5275,1379400,5250,665700,18462169893,18462169893,18462169893,5933400,1428700,,3886056,20151392500,6,BNI
2020-09-09T00:00:00,5250,5150,5150,5175,5025,5025,-225,73421800,3.72491E+11,18753,24.2,5050,467600,5025,2151300,18462169893,18462169893,18462169893,11205600,3086600,,150019,754893100,2,BNI
2020-09-10T00:00:00,5025,4780,4790,4790,4680,4680,-345,132102700,6.20716E+11,29916,22.5,4680,34969800,0,0,18462169893,18462169893,18462169893,22839400,8853700,,1773977,9021067940,9,BNI
2020-09-11T00:00:00,4680,4450,4450,4880,4420,4870,190,121461600,5.72928E+11,32587,23.4,4880,431200,4870,1299600,18462169893,18462169893,18462169893,18380400,10875100,,3612001,18749261210,5,BNI
2020-09-14T00:00:00,4870,4980,4990,5050,4910,5050,180,77510600,3.87473E+11,17539,24.3,5075,1854500,5050,772400,18462169893,18462169893,18462169893,7008000,8790000,,4712883,21356387582,10,BNI
2020-09-15T00:00:00,5050,5050,5050,5100,4910,4940,-110,49093700,2.43755E+11,15419,23.8,4950,403900,4940,764400,18462169893,18462169893,18462169893,15797200,3699700,,1555026,7694961300,4,BNI
2020-09-16T00:00:00,4940,4990,4970,4990,4870,4870,-70,30253200,1.4825E+11,10876,23.4,4880,143900,4870,124300,18462169893,18462169893,18462169893,15407900,1896800,,1268608,7663021317,4,BNI
2020-09-17T00:00:00,4870,4860,4860,4890,4700,4720,-150,62086500,2.95948E+11,20804,22.7,4730,328400,4720,1712700,18462169893,18462169893,18462169893,25051900,3161000,,1338529,6584276880,3,BNI
